0,1,2,3,4,5,6,7
0.0001,0.1018,0.2515,0.4022,21.6353,20.7983,19.5899,706.681
0.0001,0.1014,0.2504,0.4041,22.0766,21.2332,19.993,705.31
0.0001,0.1686,0.2502,0.4067,21.2278,20.6936,19.8578,650.272
0.0001,0.1535,0.248,0.4053,20.715,20.3804,19.6697,655.245
0.0,0.1353,0.2456,0.403,20.2762,19.9949,19.4152,678.716
0.0,0.1268,0.2435,0.4008,20.2925,19.9466,19.3075,702.474
0.0,0.1804,0.2433,0.4023,21.3325,20.7131,19.6683,658.368
0.0,0.1586,0.2409,0.3995,21.5363,21.0202,19.9426,666.887
0.0,0.1762,0.2408,0.4012,22.0672,21.459,20.2677,664.992
0.0,0.1564,0.2391,0.3992,22.6322,21.9864,20.6621,670.791
0.0,0.1412,0.2378,0.3973,23.2224,22.4926,21.0723,699.335
0.0,0.1279,0.2365,0.3952,23.0925,22.4387,21.1999,718.011
0.0,0.1237,0.2354,0.3931,23.1449,22.4765,21.2865,731.424
0.0,0.1194,0.2338,0.39,23.7159,22.9243,21.5699,740.697
0.0,0.1169,0.2326,0.3874,23.9465,23.1482,21.7965,753.164
0.0,0.1151,0.2316,0.3851,24.2444,23.4144,22.0295,762.764
0.0,0.1493,0.2315,0.3849,24.6746,23.7845,22.319,723.269
0.0,0.1293,0.2303,0.382,25.0902,24.2683,22.6868,733.649
0.0,0.1242,0.2294,0.3794,24.9651,24.1934,22.7895,762.068
0.0,0.1226,0.2288,0.3799,25.2647,24.4317,22.9724,765.495
0.0,0.1196,0.2278,0.377,24.89,24.1816,22.9221,774.293
0.0,0.1172,0.2268,0.3742,24.2532,23.683,22.6637,786.541
0.0,0.1155,0.226,0.3718,23.247,22.8674,22.1645,797.588
0.0,0.1141,0.2253,0.3697,22.7933,22.4252,21.7721,806.46
0.0,0.1126,0.2246,0.3672,23.1234,22.5971,21.7227,814.271
0.0,0.112,0.2242,0.3663,24.132,23.3453,22.0805,820.84
0.0,0.1108,0.2236,0.3641,23.9856,23.3023,22.1612,823.907
0.0,0.109,0.2225,0.3604,23.8951,23.2416,22.1556,831.439
0.0,0.1077,0.2217,0.3576,24.6479,23.8001,22.4466,841.67
0.0,0.1064,0.2209,0.3545,24.9278,24.0661,22.6798,849.243
